Draft,Pick,First,Last,Full,Year,POS,School,Power 5,NPPG,NRPG,NAPG,NBPG,NSPG,N3PT,N3PA,WS,CPPG,CRPG,CAPG,CBPG,CSPG,C3PT
2009,9,DeMar,DeRozan,DeMar DeRozan,FR,SG,USC,P,22.9,4.6,4.1,0.4,1.2,0.305,210,8.8,13.9,5.7,1.5,0.4,0.9,0.167
2009,11,Terrence,Williams,Terrence Williams,SR,SG,Louisville,P,8.4,4.5,2.9,0.2,0.7,0.348,46,0.3,12.5,8.6,5,0.8,2.3,0.385
2009,12,Gerald,Henderson,Gerald Henderson,JR,SG,Duke,B,15.5,4.1,2.6,0.5,1,0.348,115,3.6,16.5,4.9,2.5,0.8,1.2,0.336
2009,13,Tyler,Hansbrough,Tyler Hansbrough,SR,PF,North Carolina,B,11,5.2,1,0.3,0.8,0.143,7,4.4,20.7,8.1,1,0.4,1.2,0.391
2009,14,Earl,Clark,Earl Clark,JR,SF,Louisville,P,7.3,5.5,1.1,0.7,0.6,0.336,122,2.3,14.2,8.7,3.2,1.4,1,0.326
2009,15,Austin,Daye,Austin Daye,SO,SF,Gonzaga,M,7.5,3.8,1.1,0.5,0.5,0.401,172,2.1,12.7,6.8,1.1,2.1,0.7,0.429
2009,16,James,Johnson,James Johnson,SO,PF,Wake Forest,P,9.1,4.7,2.3,1.4,1.1,0.326,46,4.1,15,8.5,2,1.5,1.4,0.319
2009,17,Jrue,Holiday,Jrue Holiday,FR,PG,UCLA,B,17.7,4.2,8,0.6,1.6,0.39,159,5.7,8.5,3.8,3.7,0.5,1.6,0.307
2009,18,Ty,Lawson,Ty Lawson,JR,PG,North Carolina,B,17.6,3.7,9.6,0.2,1.6,0.404,171,7.4,16.6,3,6.6,0.1,2.1,0.472
2009,19,Jeff,Teague,Jeff Teague,SO,PG,Wake Forest,P,16.5,2.6,7.2,0.6,1.7,0.359,248,7.7,18.8,3.3,3.5,0.6,1.9,0.441
2009,20,Eric,Maynor,Eric Maynor,SR,PG,VCU,M,4.7,1.6,3.3,0.1,0.5,0.385,96,1.9,22.4,3.6,6.2,0.2,1.7,0.361
2009,21,Darren,Collison,Darren Collison,SR,PG,UCLA,B,16.1,3.2,5.7,0.3,1.5,0.4,115,5.9,14.4,2.4,4.7,0.1,1.6,0.394
2009,24,Byron,Mullens,Byron Mullens,FR,C,Ohio State,B,10.6,6.4,1.5,0.8,0.6,0.371,89,0.5,8.8,4.7,0.3,1.1,0.5,0
2009,26,Taj,Gibson,Taj Gibson,JR,PF,USC,P,13,7.5,1.4,1.4,0.6,0.125,8,5.7,14.3,9,1.3,2.9,1,0
2009,27,DeMarre,Carroll,DeMarre Carroll,SR,PF,Missouri,P,12.6,5.5,1.8,0.4,1.7,0.395,304,7,16.6,7.2,2.2,0.7,1.6,0.364
2009,28,Wayne,Ellington,Wayne Ellington,JR,SG,North Carolina,B,10,3.2,1.6,0.2,0.7,0.392,240,3.2,15.8,4.9,2.7,0.2,1,0.417
2009,29,Toney,Douglas,Toney Douglas,SR,SG,Florida State,P,10.6,3,3,0.1,1.1,0.38,216,4.2,21.5,3.9,2.9,0.4,1.8,0.385
2010,1,John,Wall,John Wall,FR,PG,Kentucky,B,19.6,4.6,10,0.9,2.1,0.351,308,7.9,16.6,4.3,6.5,0.5,1.8,0.325
2010,2,Evan,Turner,Evan Turner,JR,SG,Ohio State,B,14,6.3,5.5,0.4,1,0.365,159,2.5,20.4,9.2,6,0.9,1.7,0.364
2010,3,Derrick,Favors,Derrick Favors,FR,PF,Georgia Tech,P,16.8,8.7,1.5,1.7,1.5,0.167,6,8.3,12.4,8.4,1,2.1,0.9,0
2010,4,Wesley,Johnson,Wesley Johnson,JR,SF,Syracuse,B,9.9,4.4,1.9,1,1.1,0.369,271,1.9,16.5,8.5,2.2,1.8,1.7,0.415
2010,5,DeMarcus,Cousins,DeMarcus Cousins,FR,C,Kentucky,B,25.6,12.7,3.6,1.7,1.5,0.321,109,7.9,15.1,9.8,1,1.8,1,0.167
2010,6,Ekpe,Udoh,Ekpe Udoh,JR,PF,Baylor,P,5.6,4.2,0.9,1.7,0.7,0,2,2.7,13.9,9.8,2.7,3.7,0.8,0.269
2010,7,Greg,Monroe,Greg Monroe,SO,PF,Georgetown,P,16,10.2,3.5,0.8,1.3,0,4,7,16.1,9.6,3.8,1.5,1.2,0.259
2010,8,Al-Farouq,Aminu,Al-Farouq Aminu,SO,SF,Wake Forest,P,10.9,7.7,1.6,0.8,1.2,0.36,172,3.3,15.8,10.7,1.3,1.4,1.4,0.273
2010,9,Gordon,Hayward,Gordon Hayward,SO,SF,Butler,M,19.3,5.1,5.2,0.6,1.4,0.415,246,8.7,15.5,8.2,1.7,0.8,1.1,0.294
2010,10,Paul,George,Paul George,SO,SF,Fresno State,M,24.2,7.6,4.1,0.6,1.9,0.392,286,10.8,16.8,7.2,3,0.8,2.2,0.353
2010,11,Cole,Aldrich,Cole Aldrich,JR,C,Kansas,B,5.5,5.5,1.2,1.1,0.7,0,0,2.2,11.3,9.8,0.9,3.5,0.8,0
2010,12,Xavier,Henry,Xavier Henry,FR,SG,Kansas,B,10,2.7,1.2,0.2,1,0.346,81,0.3,13.4,4.4,1.5,0.5,1.5,0.418
2010,13,Ed,Davis,Ed Davis,SO,PF,North Carolina,B,8.3,7.6,1.2,1.2,0.6,0,1,6.3,13.4,9.6,1,2.8,0.4,0
2010,14,Patrick,Patterson,Patrick Patterson,JR,PF,Kentucky,B,10.4,5.3,1.9,0.7,0.8,0.386,132,6.1,14.3,7.4,0.9,1.3,0.7,0.348
2010,15,Larry,Sanders,Larry Sanders,JR,PF,VCU,M,9.8,9.5,1.2,2.8,0.7,0,2,6,14.4,9.1,1,2.6,0.7,0.25
2010,16,Luke,Babbit,Luke Babbit,SO,SF,Nevada,M,6.3,3.3,1.1,0.4,0.3,0.513,115,1.6,21.9,8.9,2.1,0.8,1,0.416
2010,18,Eric,Bledsoe,Eric Bledsoe,FR,PG,Kentucky,B,20.4,5.2,6.1,0.7,2,0.372,179,7,11.3,3.1,2.9,0.3,1.4,0.383
2010,19,Avery,Bradley,Avery Bradley,FR,SG,Texas,B,14.9,3.8,2.1,0.4,1.6,0.395,200,2.5,11.6,2.9,2.1,0.5,1.3,0.375
2010,20,James,Anderson,James Anderson,JR,SG,Oklahoma State,P,10.1,3.8,1.9,0.4,0.9,0.328,351,1.9,22.3,5.8,2.4,0.6,1.4,0.341
2010,21,Craig,Brackins,Craig Brackins,JR,PF,Iowa State,P,2.7,1.3,0.6,0.1,0.3,0.333,9,-0.1,16.5,8.5,2.2,1.2,0.8,0.31
2010,22,Elliot,Williams,Elliot Williams,SO,SG,Memphis,M,6,1.9,1.1,0.1,0.5,0.296,125,0.3,17.9,4,3.8,0.1,1.3,0.366
2010,23,Trevor,Booker,Trevor Booker,SR,PF,Clemson,P,8.4,6.6,1.1,0.9,1,0.345,84,4.3,15.2,8.4,2.5,1.4,1.3,0.265
2010,24,Damion,James,Damion James,SR,SF,Texas,B,4.9,3.7,0.8,1,1,0,3,0.1,18,10.3,1,1.2,1.7,0.383
2010,25,Dominique,Jones,Dominique Jones,JR,SG,South Florida,M,4,1.6,2.9,0.2,0.5,0.125,8,0.2,21.4,6.1,3.6,0.6,1.7,0.311
2010,26,Quincy,Pondexter,Quincy Pondexter,SR,SF,Washington,P,7.2,2.6,1.3,0.3,0.6,0.395,152,3.2,19.3,7.4,1.8,0.6,1.3,0.353
2010,27,Jordan,Crawford,Jordan Crawford,SO,SG,Xavier,M,14.7,3,3.5,0.1,0.9,0.337,246,2.8,20.5,4.7,2.9,0.2,1.3,0.391
2010,28,Greivis,Vasquez,Greivis Vasquez,SR,SG,Maryland,P,13.9,4.3,9,0.1,0.9,0.379,351,3.8,19.6,4.6,6.3,0.4,1.7,0.359
2010,29,Daniel,Orton,Daniel Orton,FR,C,Kentucky,B,3,2.8,0.7,0.7,0.5,0,1,0.5,3.4,3.3,0.4,1.4,0.6,0
2010,30,Lazar,Hayward,Lazar Hayward,SR,SF,Marquette,P,3.8,1.7,0.8,0.2,0.5,0.283,60,0.3,18.1,7.5,1.5,0.5,1.9,0.349
